Transações Aceitas
==================================================
{'transaction_id': 'TX1', 'sender': 'User4', 'receiver': 'User1', 'amount': 49, 'status': 'valid'}
{'transaction_id': 'TX2', 'sender': 'User3', 'receiver': 'User5', 'amount': 56, 'status': 'valid'}
{'transaction_id': 'TX3', 'sender': 'User4', 'receiver': 'User3', 'amount': 98, 'status': 'valid'}
{'transaction_id': 'TX4', 'sender': 'User3', 'receiver': 'User2', 'amount': 19, 'status': 'valid'}
{'transaction_id': 'TX5', 'sender': 'User3', 'receiver': 'User2', 'amount': 82, 'status': 'valid'}
{'transaction_id': 'TX6', 'sender': 'User1', 'receiver': 'User4', 'amount': 39, 'status': 'valid'}
{'transaction_id': 'TX7', 'sender': 'User2', 'receiver': 'User3', 'amount': 65, 'status': 'valid'}
{'transaction_id': 'TX8', 'sender': 'User3', 'receiver': 'User2', 'amount': 27, 'status': 'valid'}
{'transaction_id': 'TX9', 'sender': 'User1', 'receiver': 'User3', 'amount': 44, 'status': 'valid'}
{'transaction_id': 'TX10', 'sender': 'User2', 'receiver': 'User1', 'amount': 57, 'status': 'valid'}
{'transaction_id': 'TX11', 'sender': 'User5', 'receiver': 'User3', 'amount': 92, 'status': 'valid'}
{'transaction_id': 'TX12', 'sender': 'User2', 'receiver': 'User5', 'amount': 94, 'status': 'valid'}
{'transaction_id': 'TX13', 'sender': 'User2', 'receiver': 'User4', 'amount': 7, 'status': 'valid'}
{'transaction_id': 'TX14', 'sender': 'User3', 'receiver': 'User5', 'amount': 37, 'status': 'valid'}
{'transaction_id': 'TX15', 'sender': 'User3', 'receiver': 'User2', 'amount': 53, 'status': 'valid'}
{'transaction_id': 'TX16', 'sender': 'User4', 'receiver': 'User3', 'amount': 68, 'status': 'valid'}
{'transaction_id': 'TX17', 'sender': 'User4', 'receiver': 'User2', 'amount': 84, 'status': 'valid'}
{'transaction_id': 'TX18', 'sender': 'User5', 'receiver': 'User2', 'amount': 48, 'status': 'valid'}
{'transaction_id': 'TX19', 'sender': 'User4', 'receiver': 'User2', 'amount': 77, 'status': 'valid'}
{'transaction_id': 'TX20', 'sender': 'User5', 'receiver': 'User1', 'amount': 59, 'status': 'valid'}
{'transaction_id': 'TX21', 'sender': 'User3', 'receiver': 'User1', 'amount': 86, 'status': 'valid'}
{'transaction_id': 'TX22', 'sender': 'User5', 'receiver': 'User3', 'amount': 22, 'status': 'valid'}
{'transaction_id': 'TX23', 'sender': 'User3', 'receiver': 'User2', 'amount': 48, 'status': 'valid'}
{'transaction_id': 'TX24', 'sender': 'User2', 'receiver': 'User5', 'amount': 85, 'status': 'valid'}
{'transaction_id': 'TX25', 'sender': 'User2', 'receiver': 'User1', 'amount': 81, 'status': 'valid'}
{'transaction_id': 'TX26', 'sender': 'User2', 'receiver': 'User3', 'amount': 93, 'status': 'valid'}
{'transaction_id': 'TX27', 'sender': 'User5', 'receiver': 'User2', 'amount': 15, 'status': 'valid'}
{'transaction_id': 'TX28', 'sender': 'User2', 'receiver': 'User3', 'amount': 91, 'status': 'valid'}
{'transaction_id': 'TX29', 'sender': 'User3', 'receiver': 'User2', 'amount': 93, 'status': 'valid'}
{'transaction_id': 'TX30', 'sender': 'User4', 'receiver': 'User2', 'amount': 63, 'status': 'valid'}
{'transaction_id': 'TX31', 'sender': 'User1', 'receiver': 'User2', 'amount': 73, 'status': 'valid'}
{'transaction_id': 'TX32', 'sender': 'User2', 'receiver': 'User3', 'amount': 55, 'status': 'valid'}
{'transaction_id': 'TX33', 'sender': 'User1', 'receiver': 'User4', 'amount': 54, 'status': 'valid'}
{'transaction_id': 'TX34', 'sender': 'User5', 'receiver': 'User4', 'amount': 69, 'status': 'valid'}
{'transaction_id': 'TX35', 'sender': 'User4', 'receiver': 'User5', 'amount': 5, 'status': 'valid'}
{'transaction_id': 'TX36', 'sender': 'User2', 'receiver': 'User4', 'amount': 92, 'status': 'valid'}
{'transaction_id': 'TX37', 'sender': 'User1', 'receiver': 'User5', 'amount': 34, 'status': 'valid'}
{'transaction_id': 'TX38', 'sender': 'User1', 'receiver': 'User5', 'amount': 72, 'status': 'valid'}
{'transaction_id': 'TX39', 'sender': 'User2', 'receiver': 'User5', 'amount': 22, 'status': 'valid'}
{'transaction_id': 'TX40', 'sender': 'User5', 'receiver': 'User2', 'amount': 25, 'status': 'valid'}
{'transaction_id': 'TX41', 'sender': 'User2', 'receiver': 'User1', 'amount': 13, 'status': 'valid'}
{'transaction_id': 'TX42', 'sender': 'User2', 'receiver': 'User3', 'amount': 2, 'status': 'valid'}
{'transaction_id': 'TX43', 'sender': 'User3', 'receiver': 'User5', 'amount': 37, 'status': 'valid'}
{'transaction_id': 'TX44', 'sender': 'User3', 'receiver': 'User4', 'amount': 1, 'status': 'valid'}
{'transaction_id': 'TX45', 'sender': 'User3', 'receiver': 'User2', 'amount': 38, 'status': 'valid'}
{'transaction_id': 'TX46', 'sender': 'User1', 'receiver': 'User5', 'amount': 64, 'status': 'valid'}
{'transaction_id': 'TX47', 'sender': 'User2', 'receiver': 'User1', 'amount': 88, 'status': 'valid'}
{'transaction_id': 'TX48', 'sender': 'User3', 'receiver': 'User1', 'amount': 98, 'status': 'valid'}
{'transaction_id': 'TX49', 'sender': 'User4', 'receiver': 'User3', 'amount': 3, 'status': 'valid'}
{'transaction_id': 'TX50', 'sender': 'User4', 'receiver': 'User2', 'amount': 25, 'status': 'valid'}
{'transaction_id': 'TX51', 'sender': 'User5', 'receiver': 'User2', 'amount': 3, 'status': 'valid'}
{'transaction_id': 'TX52', 'sender': 'User3', 'receiver': 'User1', 'amount': 48, 'status': 'valid'}
{'transaction_id': 'TX53', 'sender': 'User2', 'receiver': 'User1', 'amount': 84, 'status': 'valid'}
{'transaction_id': 'TX54', 'sender': 'User3', 'receiver': 'User5', 'amount': 98, 'status': 'valid'}
{'transaction_id': 'TX55', 'sender': 'User3', 'receiver': 'User5', 'amount': 79, 'status': 'valid'}
{'transaction_id': 'TX56', 'sender': 'User3', 'receiver': 'User5', 'amount': 87, 'status': 'valid'}
{'transaction_id': 'TX57', 'sender': 'User1', 'receiver': 'User5', 'amount': 5, 'status': 'valid'}
{'transaction_id': 'TX58', 'sender': 'User3', 'receiver': 'User2', 'amount': 43, 'status': 'valid'}
{'transaction_id': 'TX59', 'sender': 'User1', 'receiver': 'User5', 'amount': 3, 'status': 'valid'}
{'transaction_id': 'TX60', 'sender': 'User4', 'receiver': 'User3', 'amount': 80, 'status': 'valid'}
{'transaction_id': 'TX61', 'sender': 'User4', 'receiver': 'User3', 'amount': 52, 'status': 'valid'}
{'transaction_id': 'TX62', 'sender': 'User5', 'receiver': 'User2', 'amount': 69, 'status': 'valid'}
{'transaction_id': 'TX63', 'sender': 'User3', 'receiver': 'User4', 'amount': 8, 'status': 'valid'}
{'transaction_id': 'TX64', 'sender': 'User4', 'receiver': 'User2', 'amount': 26, 'status': 'valid'}
{'transaction_id': 'TX65', 'sender': 'User1', 'receiver': 'User4', 'amount': 46, 'status': 'valid'}
{'transaction_id': 'TX66', 'sender': 'User2', 'receiver': 'User5', 'amount': 43, 'status': 'valid'}
{'transaction_id': 'TX67', 'sender': 'User2', 'receiver': 'User4', 'amount': 80, 'status': 'valid'}
{'transaction_id': 'TX68', 'sender': 'User3', 'receiver': 'User2', 'amount': 82, 'status': 'valid'}
{'transaction_id': 'TX69', 'sender': 'User1', 'receiver': 'User4', 'amount': 59, 'status': 'valid'}
{'transaction_id': 'TX70', 'sender': 'User1', 'receiver': 'User2', 'amount': 7, 'status': 'valid'}
{'transaction_id': 'TX71', 'sender': 'User2', 'receiver': 'User1', 'amount': 31, 'status': 'valid'}
{'transaction_id': 'TX72', 'sender': 'User5', 'receiver': 'User2', 'amount': 8, 'status': 'valid'}
{'transaction_id': 'TX73', 'sender': 'User4', 'receiver': 'User2', 'amount': 28, 'status': 'valid'}
{'transaction_id': 'TX74', 'sender': 'User4', 'receiver': 'User3', 'amount': 2, 'status': 'valid'}
{'transaction_id': 'TX75', 'sender': 'User3', 'receiver': 'User4', 'amount': 34, 'status': 'valid'}
{'transaction_id': 'TX76', 'sender': 'User5', 'receiver': 'User4', 'amount': 3, 'status': 'valid'}
{'transaction_id': 'TX77', 'sender': 'User2', 'receiver': 'User1', 'amount': 53, 'status': 'valid'}
{'transaction_id': 'TX78', 'sender': 'User2', 'receiver': 'User4', 'amount': 10, 'status': 'valid'}
{'transaction_id': 'TX79', 'sender': 'User1', 'receiver': 'User5', 'amount': 84, 'status': 'valid'}
{'transaction_id': 'TX80', 'sender': 'User4', 'receiver': 'User2', 'amount': 18, 'status': 'valid'}
